"","module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"GO:0005578","2",193,183,1,2.80103640845649e-12,4.64439846886171e-08,34,0.185792349726776,0.409638554216867,83,"GO:0005578","CC","proteinaceous extracellular matrix","A layer consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that forms a sheet underlying or overlying cells such as endothelial and epithelial cells. The proteins are secreted by cells in the vicinity. An example of this component is found in Mus musculus."
"GO:0031012","2",193,183,2,3.83987255835811e-10,6.36689268901359e-06,38,0.207650273224044,0.327586206896552,116,"GO:0031012","CC","extracellular matrix","A structure lying external to one or more cells, which provides structural support for cells or tissues."
"GO:0001503","2",193,183,3,2.66379018065363e-06,0.0441683049854178,20,0.109289617486339,0.350877192982456,57,"GO:0001503","BP","ossification","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance."
"GO:0061564","2",193,183,4,3.33830869809467e-06,0.0553524965231078,19,0.103825136612022,0.358490566037736,53,"GO:0061564","BP","axon development","The progression of an axon over time. Covers axonogenesis (de novo generation of an axon) and axon regeneration (regrowth), as well as processes pertaining to the progression of the axon over time (fasciculation and defasciculation)."
"GO:0016049","2",193,183,5,4.94568784192277e-06,0.0820044501069215,20,0.109289617486339,0.338983050847458,59,"GO:0016049","BP","cell growth","The process in which a cell irreversibly increases in size over time by accretion and biosynthetic production of matter similar to that already present."
"GO:0001558","2",193,183,6,5.76621921023622e-06,0.0956096807249267,18,0.0983606557377049,0.36,50,"GO:0001558","BP","regulation of cell growth","Any process that modulates the frequency, rate, extent or direction of cell growth."
"GO:0007409","2",193,183,7,7.07563391337502e-06,0.117321085917671,17,0.092896174863388,0.369565217391304,46,"GO:0007409","BP","axonogenesis","De novo generation of a long process of a neuron, that carries efferent (outgoing) action potentials from the cell body towards target cells. Refers to the morphogenesis or creation of shape or form of the developing axon."
"GO:0090287","2",193,183,8,7.59031040443963e-06,0.125854936816014,13,0.0710382513661202,0.448275862068966,29,"GO:0090287","BP","regulation of cellular response to growth factor stimulus","Any process that modulates the rate, frequency, or extent of a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."
"GO:0005576","2",193,183,9,9.97105699420204e-06,0.165330096020864,101,0.551912568306011,0.162903225806452,620,"GO:0005576","CC","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"GO:0060560","2",193,183,10,1.08621826892459e-05,0.180105851170386,11,0.0601092896174863,0.5,22,"GO:0060560","BP","developmental growth involved in morphogenesis","The increase in size or mass of an anatomical structure that contributes to the structure attaining its shape."
"GO:00069551","3",180,178,1,9.31797440173891e-20,1.54501333555233e-15,93,0.52247191011236,0.261971830985915,355,"GO:0006955","BP","immune response","Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."
"GO:00023761","3",180,178,2,7.38996859703015e-19,1.22533069307357e-14,106,0.595505617977528,0.232456140350877,456,"GO:0002376","BP","immune system process","Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."
"GO:0016021","3",180,178,3,5.78962950153433e-18,9.59978467649407e-14,116,0.651685393258427,0.213235294117647,544,"GO:0016021","CC","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"GO:0031224","3",180,178,4,6.36032903213061e-17,1.05460615681758e-12,117,0.657303370786517,0.206713780918728,566,"GO:0031224","CC","intrinsic component of membrane","The component of a membrane consisting of the gene products having some covalently attached portion, for example part of a peptide sequence or some other covalently attached group such as a GPI anchor, which spans or is embedded in one or both leaflets of the membrane."
"GO:0050776","3",180,178,5,9.98064195010081e-17,1.65489024174621e-12,63,0.353932584269663,0.315,200,"GO:0050776","BP","regulation of immune response","Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."
"GO:0006952","3",180,178,6,3.60918776155241e-15,5.98439422743005e-11,79,0.443820224719101,0.254019292604502,311,"GO:0006952","BP","defense response","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"GO:00026821","3",180,178,7,8.55414512819247e-15,1.41836280370559e-10,74,0.415730337078652,0.261484098939929,283,"GO:0002682","BP","regulation of immune system process","Any process that modulates the frequency, rate, or extent of an immune system process."
"GO:0016020","3",180,178,8,3.29141894168366e-13,5.45750174720567e-09,141,0.792134831460674,0.167857142857143,840,"GO:0016020","CC","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"GO:0002684","3",180,178,9,2.6512208056256e-12,4.39598921780781e-08,57,0.320224719101124,0.278048780487805,205,"GO:0002684","BP","positive regulation of immune system process","Any process that activates or increases the frequency, rate, or extent of an immune system process."
"GO:0002218","3",180,178,10,1.70987506777322e-11,2.83514384987478e-07,23,0.129213483146067,0.522727272727273,44,"GO:0002218","BP","activation of innate immune response","Any process that initiates an innate immune response. Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. Examples of this process include activation of the hypersensitive response of Arabidopsis thaliana and activation of any NOD or TLR signaling pathway in vertebrate species."
"GO:0097035","4",84,80,1,0.000135237148446374,1,3,0.0375,1,3,"GO:0097035","BP","regulation of membrane lipid distribution","Any process that modulates the proportions or spatial arrangement of lipids in a cellular membrane."
"GO:0032410","4",84,80,2,0.00168694240992269,1,4,0.05,0.363636363636364,11,"GO:0032410","BP","negative regulation of transporter activity","Any process that stops or reduces the activity of a transporter."
"GO:0034763","4",84,80,3,0.00168694240992269,1,4,0.05,0.363636363636364,11,"GO:0034763","BP","negative regulation of transmembrane transport","Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of a solute from one side of a membrane to the other."
"GO:0034766","4",84,80,4,0.00168694240992269,1,4,0.05,0.363636363636364,11,"GO:0034766","BP","negative regulation of ion transmembrane transport","Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other."
"GO:0051668","4",84,80,5,0.00168694240992269,1,4,0.05,0.363636363636364,11,"GO:0051668","BP","localization within membrane","Any process in which a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a membrane."
"GO:0008081","4",84,80,6,0.00243111974193521,1,4,0.05,0.333333333333333,12,"GO:0008081","MF","phosphoric diester hydrolase activity","Catalysis of the hydrolysis of a phosphodiester to give a phosphomonoester and a free hydroxyl group."
"GO:0017121","4",84,80,7,0.00266659915782723,1,2,0.025,1,2,"GO:0017121","BP","phospholipid scrambling","The movement of a population of phospholipid molecules from one leaflet of the plasma membrane bilayer to the opposite leaflet, resulting in loss of lipid asymmetry and surface exposure of phosphatidylserine (PS) and phosphatidylethanolamine (PE)."
"GO:0042297","4",84,80,8,0.00266659915782723,1,2,0.025,1,2,"GO:0042297","BP","vocal learning","A behavioral process whose outcome is a relatively long-lasting behavioral change whereby an organism modifies innate vocalizations to imitate sounds produced by others."
"GO:0045332","4",84,80,9,0.00266659915782723,1,2,0.025,1,2,"GO:0045332","BP","phospholipid translocation","The movement of a phospholipid molecule from one leaflet of a membrane bilayer to the opposite leaflet."
"GO:0097107","4",84,80,10,0.00266659915782723,1,2,0.025,1,2,"GO:0097107","BP","postsynaptic density assembly","The aggregation, arrangement and bonding together of a set of components to form a postsynaptic density, a region that lies adjacent to the cytoplasmic face of the postsynaptic membrane at excitatory synapse."
"GO:0043292","5",80,78,1,1.01122067167881e-40,1.67670499571064e-36,41,0.525641025641026,0.602941176470588,68,"GO:0043292","CC","contractile fiber","Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle."
"GO:0030016","5",80,78,2,1.55884742947119e-40,2.58472492280617e-36,40,0.512820512820513,0.625,64,"GO:0030016","CC","myofibril","The contractile element of skeletal and cardiac muscle; a long, highly organized bundle of actin, myosin, and other proteins that contracts by a sliding filament mechanism."
"GO:0030017","5",80,78,3,5.49760610461138e-40,9.11558068205614e-36,39,0.5,0.639344262295082,61,"GO:0030017","CC","sarcomere","The repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."
"GO:0003012","5",80,78,4,3.32518455070002e-32,5.51348850351571e-28,40,0.512820512820513,0.43956043956044,91,"GO:0003012","BP","muscle system process","A organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers."
"GO:0006936","5",80,78,5,9.6011339966758e-32,1.59196402798881e-27,38,0.487179487179487,0.469135802469136,81,"GO:0006936","BP","muscle contraction","A process in which force is generated within muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis."
"GO:0030049","5",80,78,6,1.53531086038318e-24,2.54569893760135e-20,20,0.256410256410256,0.869565217391304,23,"GO:0030049","BP","muscle filament sliding","The sliding of actin thin filaments and myosin thick filaments past each other in muscle contraction. This involves a process of interaction of myosin located on a thick filament with actin located on a thin filament. During this process ATP is split and forces are generated."
"GO:0033275","5",80,78,7,1.53531086038318e-24,2.54569893760135e-20,20,0.256410256410256,0.869565217391304,23,"GO:0033275","BP","actin-myosin filament sliding","The sliding movement of actin thin filaments and myosin thick filaments past each other."
"GO:0061061","5",80,78,8,9.93804602825485e-23,1.64782741194494e-18,34,0.435897435897436,0.346938775510204,98,"GO:0061061","BP","muscle structure development","The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms."
"GO:0015629","5",80,78,9,5.34627968463352e-22,8.86466634509084e-18,28,0.358974358974359,0.444444444444444,63,"GO:0015629","CC","actin cytoskeleton","The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes."
"GO:0006941","5",80,78,10,2.48217615443865e-21,4.11569628167472e-17,23,0.294871794871795,0.575,40,"GO:0006941","BP","striated muscle contraction","A process in which force is generated within striated muscle tissue, resulting in the shortening of the muscle. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. Striated muscle is a type of muscle in which the repeating units (sarcomeres) of the contractile myofibrils are arranged in registry throughout the cell, resulting in transverse or oblique striations observable at the level of the light microscope."
"GO:00069361","6",75,74,1,1.7998122981257e-12,2.98426877152222e-08,22,0.297297297297297,0.271604938271605,81,"GO:0006936","BP","muscle contraction","A process in which force is generated within muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis."
"GO:00030121","6",75,74,2,2.66245395625486e-12,4.41461490486618e-08,23,0.310810810810811,0.252747252747253,91,"GO:0003012","BP","muscle system process","A organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers."
"GO:0006939","6",75,74,3,2.8848749038407e-08,0.000478341107805826,9,0.121621621621622,0.5,18,"GO:0006939","BP","smooth muscle contraction","A process in which force is generated within smooth muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. Smooth muscle differs from striated muscle in the much higher actin/myosin ratio, the absence of conspicuous sarcomeres and the ability to contract to a much smaller fraction of its resting length."
"GO:00432921","6",75,74,4,1.59785549816165e-06,0.0264940420150183,14,0.189189189189189,0.205882352941176,68,"GO:0043292","CC","contractile fiber","Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle."
"GO:00300171","6",75,74,5,1.62833698016165e-05,0.269994554680604,12,0.162162162162162,0.19672131147541,61,"GO:0030017","CC","sarcomere","The repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."
"GO:0031674","6",75,74,6,1.66573126173948e-05,0.276194900509023,9,0.121621621621622,0.264705882352941,34,"GO:0031674","CC","I band","A region of a sarcomere that appears as a light band on each side of the Z disc, comprising a region of the sarcomere where thin (actin) filaments are not overlapped by thick (myosin) filaments; contains actin, troponin, and tropomyosin; each sarcomere includes half of an I band at each end."
"GO:0030018","6",75,74,7,2.06730057663793e-05,0.342779108612335,8,0.108108108108108,0.296296296296296,27,"GO:0030018","CC","Z disc","Platelike region of a muscle sarcomere to which the plus ends of actin filaments are attached."
"GO:0030029","6",75,74,8,2.13886002665564e-05,0.354644381019772,15,0.202702702702703,0.157894736842105,95,"GO:0030029","BP","actin filament-based process","Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins."
"GO:00300161","6",75,74,9,2.73222517341806e-05,0.453030256004449,12,0.162162162162162,0.1875,64,"GO:0030016","CC","myofibril","The contractile element of skeletal and cardiac muscle; a long, highly organized bundle of actin, myosin, and other proteins that contracts by a sliding filament mechanism."
"GO:00610611","6",75,74,10,3.15624180423099e-05,0.52333645355954,15,0.202702702702703,0.153061224489796,98,"GO:0061061","BP","muscle structure development","The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms."
"GO:0045202","7",72,72,1,1.05293173315677e-16,1.74586610674723e-12,24,0.333333333333333,0.347826086956522,69,"GO:0045202","CC","synapse","The junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell; the site of interneuronal communication. As the nerve fiber approaches the synapse it enlarges into a specialized structure, the presynaptic nerve ending, which contains mitochondria and synaptic vesicles. At the tip of the nerve ending is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic nerve ending secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."
"GO:0043005","7",72,72,2,2.0845293241288e-16,3.45635807233796e-12,27,0.375,0.287234042553192,94,"GO:0043005","CC","neuron projection","A prolongation or process extending from a nerve cell, e.g. an axon or dendrite."
"GO:0007399","7",72,72,3,1.91497794070528e-14,3.17522492348343e-10,35,0.486111111111111,0.178571428571429,196,"GO:0007399","BP","nervous system development","The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."
"GO:0007268","7",72,72,4,3.17048444989302e-14,5.25698026636761e-10,22,0.305555555555556,0.314285714285714,70,"GO:0007268","BP","chemical synaptic transmission","The vesicular release of classical neurotransmitter molecules from a neuron, across a chemical synapse, the subsequent activation of neurotransmitter receptors of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."
"GO:0042995","7",72,72,5,3.65854505386579e-14,6.06623355381486e-10,30,0.416666666666667,0.20979020979021,143,"GO:0042995","CC","cell projection","A prolongation or process extending from a cell, e.g. a flagellum or axon."
"GO:0030424","7",72,72,6,5.19519541076652e-14,8.61415351059197e-10,18,0.25,0.409090909090909,44,"GO:0030424","CC","axon","The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter."
"GO:0036477","7",72,72,7,3.63483850101885e-10,6.02692571853936e-06,18,0.25,0.260869565217391,69,"GO:0036477","CC","somatodendritic compartment","The region of a neuron that includes the cell body (cell soma) and the dendrite, but excludes the axon."
"GO:0007417","7",72,72,8,7.94525532903538e-10,1.31740278610736e-05,19,0.263888888888889,0.234567901234568,81,"GO:0007417","BP","central nervous system development","The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord."
"GO:0097060","7",72,72,9,9.34949602681794e-10,1.55023993620668e-05,11,0.152777777777778,0.478260869565217,23,"GO:0097060","CC","synaptic membrane","A specialized area of membrane on either the presynaptic or the postsynaptic side of a synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell."
"GO:0030182","7",72,72,10,5.03082652216946e-09,8.34161345640918e-05,21,0.291666666666667,0.190909090909091,110,"GO:0030182","BP","neuron differentiation","The process in which a relatively unspecialized cell acquires specialized features of a neuron."
"GO:0052695","8",60,59,1,9.58149566904302e-14,1.58870779688402e-09,9,0.152542372881356,1,9,"GO:0052695","BP","cellular glucuronidation","The modification of an organic chemical by the conjugation of glucuronic acid. The substances resulting from glucuronidation are known as glucuronosides (or glucuronides) and are often much more water-soluble than the non-glucuronic acid-containing precursor."
"GO:0052696","8",60,59,2,9.58149566904302e-14,1.58870779688402e-09,9,0.152542372881356,1,9,"GO:0052696","BP","flavonoid glucuronidation","The modification of a flavonoid by the conjugation of glucuronic acid. The resultant flavonoid glucuronosides are often much more water-soluble than the precursor."
"GO:0052697","8",60,59,3,9.58149566904302e-14,1.58870779688402e-09,9,0.152542372881356,1,9,"GO:0052697","BP","xenobiotic glucuronidation","The modification of a xenobiotic substance by the conjugation of glucuronic acid. The resultant glucuronosides are often much more water-soluble than the xenobiotic precursor, enabling efficient excretion."
"GO:0015020","8",60,59,4,9.58149566904302e-14,1.58870779688402e-09,9,0.152542372881356,1,9,"GO:0015020","MF","glucuronosyltransferase activity","Catalysis of the reaction: UDP-glucuronate + acceptor = UDP + acceptor beta-D-glucuronoside."
"GO:0006805","8",60,59,5,7.13228513399729e-13,1.18260419806809e-08,12,0.203389830508475,0.571428571428571,21,"GO:0006805","BP","xenobiotic metabolic process","The chemical reactions and pathways involving a xenobiotic compound, a compound foreign to living organisms. Used of chemical compounds, e.g. a xenobiotic chemical, such as a pesticide."
"GO:0009410","8",60,59,6,7.13228513399729e-13,1.18260419806809e-08,12,0.203389830508475,0.571428571428571,21,"GO:0009410","BP","response to xenobiotic stimulus","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a xenobiotic compound stimulus. Xenobiotic compounds are compounds foreign to living organisms."
"GO:0071466","8",60,59,7,7.13228513399729e-13,1.18260419806809e-08,12,0.203389830508475,0.571428571428571,21,"GO:0071466","BP","cellular response to xenobiotic stimulus","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a xenobiotic compound stimulus. Xenobiotic compounds are compounds foreign to living organisms."
"GO:0009812","8",60,59,8,9.29987104127883e-13,1.54201161735444e-08,9,0.152542372881356,0.9,10,"GO:0009812","BP","flavonoid metabolic process","The chemical reactions and pathways involving flavonoids, a group of water-soluble phenolic derivatives containing a flavan skeleton including flavones, flavonols and flavanoids, and anthocyanins."
"GO:0003824","8",60,59,9,1.3361330531951e-12,2.2154422155028e-08,42,0.711864406779661,0.0990566037735849,424,"GO:0003824","MF","catalytic activity","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"GO:0008194","8",60,59,10,2.78295910540513e-12,4.61442449267225e-08,10,0.169491525423729,0.714285714285714,14,"GO:0008194","MF","UDP-glycosyltransferase activity","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"GO:00055781","9",43,42,1,6.26577005098383e-06,0.103892733215363,11,0.261904761904762,0.132530120481928,83,"GO:0005578","CC","proteinaceous extracellular matrix","A layer consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that forms a sheet underlying or overlying cells such as endothelial and epithelial cells. The proteins are secreted by cells in the vicinity. An example of this component is found in Mus musculus."
"GO:0006069","9",43,42,2,1.88963298948926e-05,0.313320045987215,3,0.0714285714285714,1,3,"GO:0006069","BP","ethanol oxidation","An ethanol metabolic process in which ethanol is converted to acetyl-CoA via acetaldehyde and acetate."
"GO:0004022","9",43,42,3,1.88963298948926e-05,0.313320045987215,3,0.0714285714285714,1,3,"GO:0004022","MF","alcohol dehydrogenase (NAD) activity","Catalysis of the reaction: an alcohol + NAD+ = an aldehyde or ketone + NADH + H+."
"GO:0004024","9",43,42,4,1.88963298948926e-05,0.313320045987215,3,0.0714285714285714,1,3,"GO:0004024","MF","alcohol dehydrogenase activity, zinc-dependent","Catalysis of the reaction: an alcohol + NAD+ = an aldehyde or ketone + NADH + H+, requiring the presence of zinc."
"GO:0008191","9",43,42,5,7.41468871802844e-05,1,3,0.0714285714285714,0.75,4,"GO:0008191","MF","metalloendopeptidase inhibitor activity","Stops, prevents or reduces the activity of metalloendopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain and contain a chelated metal ion at their active sites which is essential to their catalytic activity."
"GO:00310121","9",43,42,6,0.000160154171628878,1,11,0.261904761904762,0.0948275862068965,116,"GO:0031012","CC","extracellular matrix","A structure lying external to one or more cells, which provides structural support for cells or tissues."
"GO:0046914","9",43,42,7,0.000384980659678881,1,10,0.238095238095238,0.0934579439252336,107,"GO:0046914","MF","transition metal ion binding","Interacting selectively and non-covalently with a transition metal ions; a transition metal is an element whose atom has an incomplete d-subshell of extranuclear electrons, or which gives rise to a cation or cations with an incomplete d-subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium, manganese, iron, copper, cobalt, nickel, molybdenum and silver."
"GO:0048704","9",43,42,8,0.000612501119330273,1,3,0.0714285714285714,0.428571428571429,7,"GO:0048704","BP","embryonic skeletal system morphogenesis","The process in which the anatomical structures of the skeleton are generated and organized during the embryonic phase."
"GO:0016614","9",43,42,9,0.00110969819804254,1,4,0.0952380952380952,0.222222222222222,18,"GO:0016614","MF","oxidoreductase activity, acting on CH-OH group of donors","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group act as a hydrogen or electron donor and reduces a hydrogen or electron acceptor."
"GO:0055114","9",43,42,10,0.00113203925691743,1,8,0.19047619047619,0.0987654320987654,81,"GO:0055114","BP","oxidation-reduction process","A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons."
"GO:0007049","10",43,42,1,1.58993297326931e-37,2.63626786297785e-33,36,0.857142857142857,0.31858407079646,113,"GO:0007049","BP","cell cycle","The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."
"GO:0000278","10",43,42,2,2.07704699057491e-37,3.44395161507227e-33,32,0.761904761904762,0.438356164383562,73,"GO:0000278","BP","mitotic cell cycle","Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."
"GO:1903047","10",43,42,3,3.65680034801343e-37,6.06334065704108e-33,31,0.738095238095238,0.46969696969697,66,"GO:1903047","BP","mitotic cell cycle process","A process that is part of the mitotic cell cycle."
"GO:0022402","10",43,42,4,2.70896246646936e-36,4.49173066565285e-32,33,0.785714285714286,0.379310344827586,87,"GO:0022402","BP","cell cycle process","The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."
"GO:0007059","10",43,42,5,2.92754086345171e-34,4.85415550568927e-30,23,0.547619047619048,0.793103448275862,29,"GO:0007059","BP","chromosome segregation","The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."
"GO:0051301","10",43,42,6,4.33872323120157e-31,7.19403698965533e-27,24,0.571428571428571,0.6,40,"GO:0051301","BP","cell division","The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."
"GO:0007067","10",43,42,7,2.38568752122252e-30,3.95570847893905e-26,24,0.571428571428571,0.571428571428571,42,"GO:0007067","BP","mitotic nuclear division","A cell cycle process comprising the steps by which the nucleus of a eukaryotic cell divides; the process involves condensation of chromosomal DNA into a highly compacted form. Canonically, mitosis produces two daughter nuclei whose chromosome complement is identical to that of the mother cell."
"GO:0048285","10",43,42,8,9.47892515133725e-30,1.57170057934323e-25,25,0.595238095238095,0.5,50,"GO:0048285","BP","organelle fission","The creation of two or more organelles by division of one organelle."
"GO:0000819","10",43,42,9,1.3891131705399e-28,2.30328854807221e-24,19,0.452380952380952,0.826086956521739,23,"GO:0000819","BP","sister chromatid segregation","The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets."
"GO:0005819","10",43,42,10,4.31341026629617e-24,7.15206556254567e-20,18,0.428571428571429,0.666666666666667,27,"GO:0005819","CC","spindle","The array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during mitosis or meiosis and serves to move the duplicated chromosomes apart."
"GO:0006040","11",38,37,1,0.000562011088326878,1,2,0.0540540540540541,1,2,"GO:0006040","BP","amino sugar metabolic process","The chemical reactions and pathways involving any amino sugar, sugars containing an amino group in place of a hydroxyl group."
