"","module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"GO:0000278","3",88,87,4,2.15703359386686e-63,3.57657740199064e-59,60,0.689655172413793,0.652173913043478,92,"GO:0000278","BP","mitotic cell cycle","Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."
"GO:0007067","3",88,87,5,4.17345533594271e-47,6.92000629252661e-43,41,0.471264367816092,0.803921568627451,51,"GO:0007067","BP","mitotic nuclear division","A cell cycle process comprising the steps by which the nucleus of a eukaryotic cell divides; the process involves condensation of chromosomal DNA into a highly compacted form. Canonically, mitosis produces two daughter nuclei whose chromosome complement is identical to that of the mother cell."
"GO:0048285","3",88,87,6,6.584245326149e-45,1.09173371752877e-40,42,0.482758620689655,0.724137931034483,58,"GO:0048285","BP","organelle fission","The creation of two or more organelles by division of one organelle."
"GO:0007059","3",88,87,7,8.70531956469874e-44,1.4434290370227e-39,36,0.413793103448276,0.878048780487805,41,"GO:0007059","BP","chromosome segregation","The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."
"GO:0051301","3",88,87,8,5.23692175421723e-43,8.68333996066758e-39,41,0.471264367816092,0.706896551724138,58,"GO:0051301","BP","cell division","The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."
"GO:0000819","3",88,87,9,3.54605335325958e-37,5.87971106503972e-33,30,0.344827586206897,0.909090909090909,33,"GO:0000819","BP","sister chromatid segregation","The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets."
"GO:0005819","3",88,87,10,1.96228976617661e-35,3.25367266129744e-31,30,0.344827586206897,0.857142857142857,35,"GO:0005819","CC","spindle","The array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during mitosis or meiosis and serves to move the duplicated chromosomes apart."
"GO:0043292","4",79,76,1,5.26774305515004e-33,8.73444475974427e-29,36,0.473684210526316,0.521739130434783,69,"GO:0043292","CC","contractile fiber","Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle."
"GO:0030016","4",79,76,2,2.48425610190577e-32,4.11914504256996e-28,35,0.460526315789474,0.53030303030303,66,"GO:0030016","CC","myofibril","The contractile element of skeletal and cardiac muscle; a long, highly organized bundle of actin, myosin, and other proteins that contracts by a sliding filament mechanism."
"GO:0030017","4",79,76,3,4.76459260809084e-31,7.90017100347542e-27,34,0.447368421052632,0.523076923076923,65,"GO:0030017","CC","sarcomere","The repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."
"GO:00030121","4",79,76,4,1.81073052059352e-29,3.00237227619611e-25,38,0.5,0.4,95,"GO:0003012","BP","muscle system process","A organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers."
"GO:00069361","4",79,76,5,2.26790392601146e-28,3.7604114997196e-24,36,0.473684210526316,0.413793103448276,87,"GO:0006936","BP","muscle contraction","A process in which force is generated within muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis."
"GO:0030049","4",79,76,6,7.30075259333954e-22,1.21053778750163e-17,20,0.263157894736842,0.714285714285714,28,"GO:0030049","BP","muscle filament sliding","The sliding of actin thin filaments and myosin thick filaments past each other in muscle contraction. This involves a process of interaction of myosin located on a thick filament with actin located on a thin filament. During this process ATP is split and forces are generated."
"GO:0033275","4",79,76,7,7.30075259333954e-22,1.21053778750163e-17,20,0.263157894736842,0.714285714285714,28,"GO:0033275","BP","actin-myosin filament sliding","The sliding movement of actin thin filaments and myosin thick filaments past each other."
"GO:0070252","4",79,76,8,2.65132764221403e-19,4.39616636355508e-15,20,0.263157894736842,0.588235294117647,34,"GO:0070252","BP","actin-mediated cell contraction","The actin filament-based process in which cytoplasmic actin filaments slide past one another resulting in contraction of all or part of the cell body."
"GO:0030048","4",79,76,9,5.97362839205162e-19,9.90487323686078e-15,20,0.263157894736842,0.571428571428571,35,"GO:0030048","BP","actin filament-based movement","Movement of organelles or other particles along actin filaments, or sliding of actin filaments past each other, mediated by motor proteins."
"GO:0015629","4",79,76,10,2.74892544295592e-18,4.55799327696521e-14,25,0.328947368421053,0.384615384615385,65,"GO:0015629","CC","actin cytoskeleton","The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes."
"GO:00023761","5",69,69,1,5.89547070941112e-11,9.77527998327458e-07,44,0.63768115942029,0.103286384976526,426,"GO:0002376","BP","immune system process","Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."
"GO:00069551","5",69,69,2,8.78413504938813e-11,1.45649743253905e-06,38,0.550724637681159,0.117283950617284,324,"GO:0006955","BP","immune response","Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."
"GO:00069521","5",69,69,3,1.55987957082299e-10,2.5864363163816e-06,36,0.521739130434783,0.121212121212121,297,"GO:0006952","BP","defense response","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"GO:00312241","5",69,69,4,3.5969943703291e-10,5.96417636544267e-06,48,0.695652173913043,0.0909090909090909,528,"GO:0031224","CC","intrinsic component of membrane","The component of a membrane consisting of the gene products having some covalently attached portion, for example part of a peptide sequence or some other covalently attached group such as a GPI anchor, which spans or is embedded in one or both leaflets of the membrane."
"GO:00160201","5",69,69,5,7.27260268134012e-10,1.20587025059301e-05,59,0.855072463768116,0.0733830845771144,804,"GO:0016020","CC","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"GO:00058861","5",69,69,6,1.42540113237821e-08,0.00023634576175963,48,0.695652173913043,0.0827586206896552,580,"GO:0005886","CC","plasma membrane","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"GO:00160211","5",69,69,7,2.5422938986695e-08,0.00042153775133839,44,0.63768115942029,0.0873015873015873,504,"GO:0016021","CC","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"GO:0071944","5",69,69,8,4.00684186583355e-08,0.000664374449773862,48,0.695652173913043,0.0805369127516778,596,"GO:0071944","CC","cell periphery","The part of a cell encompassing the cell cortex, the plasma membrane, and any external encapsulating structures."
"GO:0050786","5",69,69,9,7.93990044489268e-07,0.0131651489276765,5,0.072463768115942,0.833333333333333,6,"GO:0050786","MF","RAGE receptor binding","Interacting selectively and non-covalently with the RAGE receptor, the receptor for advanced glycation end-products."
"GO:00048721","5",69,69,10,1.19591843312313e-06,0.0198295235396147,24,0.347826086956522,0.118811881188119,202,"GO:0004872","MF","receptor activity","Combining with an extracellular or intracellular messenger to initiate a change in cell activity."
"GO:0045202","6",71,71,1,2.37597702676031e-13,3.93960750807127e-09,21,0.295774647887324,0.295774647887324,71,"GO:0045202","CC","synapse","The junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell; the site of interneuronal communication. As the nerve fiber approaches the synapse it enlarges into a specialized structure, the presynaptic nerve ending, which contains mitochondria and synaptic vesicles. At the tip of the nerve ending is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic nerve ending secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."
"GO:0043005","6",71,71,2,1.7062110572706e-12,2.82906855406038e-08,24,0.338028169014085,0.228571428571429,105,"GO:0043005","CC","neuron projection","A prolongation or process extending from a nerve cell, e.g. an axon or dendrite."
"GO:0007399","6",71,71,3,4.81933418597248e-12,7.99093801376096e-08,32,0.450704225352113,0.158415841584158,202,"GO:0007399","BP","nervous system development","The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."
"GO:0042995","6",71,71,4,1.43669636596578e-10,2.38218624440785e-06,26,0.366197183098592,0.173333333333333,150,"GO:0042995","CC","cell projection","A prolongation or process extending from a cell, e.g. a flagellum or axon."
"GO:0030424","6",71,71,5,2.7298457252287e-10,4.52635719700171e-06,16,0.225352112676056,0.296296296296296,54,"GO:0030424","CC","axon","The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter."
"GO:0007268","6",71,71,6,8.2427443412948e-10,1.36672943923009e-05,18,0.253521126760563,0.24,75,"GO:0007268","BP","chemical synaptic transmission","The vesicular release of classical neurotransmitter molecules from a neuron, across a chemical synapse, the subsequent activation of neurotransmitter receptors of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."
"GO:0098793","6",71,71,7,1.84197985005276e-09,3.05418678937248e-05,11,0.154929577464789,0.44,25,"GO:0098793","CC","presynapse","The part of a synapse that is part of the presynaptic cell."
"GO:0043209","6",71,71,8,2.08093389278063e-08,0.000345039648761957,10,0.140845070422535,0.416666666666667,24,"GO:0043209","CC","myelin sheath","An electrically insulating fatty layer that surrounds the axons of many neurons. It is an outgrowth of glial cells: Schwann cells supply the myelin for peripheral neurons while oligodendrocytes supply it to those of the central nervous system."
"GO:0030182","6",71,71,9,7.98375209399226e-08,0.00132378593470486,19,0.267605633802817,0.174311926605505,109,"GO:0030182","BP","neuron differentiation","The process in which a relatively unspecialized cell acquires specialized features of a neuron."
"GO:0007417","6",71,71,10,1.33510651146317e-07,0.00221374010665708,18,0.253521126760563,0.178217821782178,101,"GO:0007417","BP","central nervous system development","The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord."
"GO:0034645","7",63,60,1,3.24377498439461e-11,5.37850330162471e-07,36,0.6,0.106824925816024,337,"GO:0034645","BP","cellular macromolecule biosynthetic process","The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass, carried out by individual cells."
"GO:0006355","7",63,60,2,1.83456956677386e-09,3.04189979866773e-05,30,0.5,0.111524163568773,269,"GO:0006355","BP","regulation of transcription, DNA-templated","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"GO:1903506","7",63,60,3,2.01886370224892e-09,3.34747790469894e-05,30,0.5,0.111111111111111,270,"GO:1903506","BP","regulation of nucleic acid-templated transcription","Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."
"GO:2001141","7",63,60,4,2.44136932299618e-09,4.04803447445997e-05,30,0.5,0.110294117647059,272,"GO:2001141","BP","regulation of RNA biosynthetic process","Any process that modulates the frequency, rate or extent of RNA biosynthetic process."
"GO:0006351","7",63,60,5,2.68281203163677e-09,4.44837062965692e-05,30,0.5,0.10989010989011,273,"GO:0006351","BP","transcription, DNA-templated","The cellular synthesis of RNA on a template of DNA."
"GO:0051252","7",63,60,6,3.23517970914359e-09,5.36425147573098e-05,30,0.5,0.109090909090909,275,"GO:0051252","BP","regulation of RNA metabolic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."
"GO:0060429","7",63,60,7,3.23842657908423e-09,5.36963511077956e-05,20,0.333333333333333,0.165289256198347,121,"GO:0060429","BP","epithelium development","The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."
"GO:0010468","7",63,60,8,4.2221688026311e-09,7.00077809164264e-05,33,0.55,0.0988023952095808,334,"GO:0010468","BP","regulation of gene expression","Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA (for protein-coding genes) and the translation of that mRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."
"GO:0032774","7",63,60,9,4.26942637655255e-09,7.07913587496179e-05,30,0.5,0.107913669064748,278,"GO:0032774","BP","RNA biosynthetic process","The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."
"GO:0006139","7",63,60,10,1.62454329128074e-08,0.000269365523127259,34,0.566666666666667,0.091644204851752,371,"GO:0006139","BP","nucleobase-containing compound metabolic process","Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."
"GO:0072562","8",62,61,1,4.83473536660737e-23,8.01647471137169e-19,24,0.39344262295082,0.48,50,"GO:0072562","CC","blood microparticle","A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids."
"GO:0005615","8",62,61,2,1.78812199498726e-19,2.96488507988837e-15,41,0.672131147540984,0.156488549618321,262,"GO:0005615","CC","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"GO:0002526","8",62,61,3,2.01204115486916e-15,3.33616543888855e-11,18,0.295081967213115,0.4,45,"GO:0002526","BP","acute inflammatory response","Inflammation which comprises a rapid, short-lived, relatively uniform response to acute injury or antigenic challenge and is characterized by accumulations of fluid, plasma proteins, and granulocytic leukocytes. An acute inflammatory response occurs within a matter of minutes or hours, and either resolves within a few days or becomes a chronic inflammatory response."
"GO:0060205","8",62,61,4,6.76555991605251e-15,1.12179748968067e-10,17,0.278688524590164,0.414634146341463,41,"GO:0060205","CC","cytoplasmic membrane-bounded vesicle lumen","The volume enclosed by the membrane of a cytoplasmic membrane-bounded vesicle."
"GO:0070062","8",62,61,5,7.96490054419402e-15,1.32066015923281e-10,42,0.688524590163934,0.115702479338843,363,"GO:0070062","CC","extracellular exosome","A membrane-bounded vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."
"GO:1903561","8",62,61,6,1.22127345123055e-14,2.02499350948538e-10,42,0.688524590163934,0.114441416893733,367,"GO:1903561","CC","extracellular vesicle","Any vesicle that is part of the extracellular region."
"GO:0034774","8",62,61,7,4.72162975552087e-12,7.82893429762915e-08,13,0.213114754098361,0.448275862068966,29,"GO:0034774","CC","secretory granule lumen","The volume enclosed by the membrane of a secretory granule."
"GO:0061045","8",62,61,8,6.63286667858752e-12,1.0997956239766e-07,11,0.180327868852459,0.578947368421053,19,"GO:0061045","BP","negative regulation of wound healing","Any process that decreases the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury."
"GO:0002576","8",62,61,9,1.35405644467178e-11,2.24516099091027e-07,13,0.213114754098361,0.419354838709677,31,"GO:0002576","BP","platelet degranulation","The regulated exocytosis of secretory granules containing preformed mediators such as histamine and serotonin by a platelet."
"GO:0031093","8",62,61,10,1.43083944755287e-11,2.37247488798742e-07,11,0.180327868852459,0.55,20,"GO:0031093","CC","platelet alpha granule lumen","The volume enclosed by the membrane of the platelet alpha granule."
"GO:0006629","9",59,58,1,1.01155146453333e-11,1.67725348334272e-07,25,0.431034482758621,0.161290322580645,155,"GO:0006629","BP","lipid metabolic process","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"GO:0005811","9",59,58,2,3.03599749407509e-10,5.03398744492591e-06,8,0.137931034482759,0.727272727272727,11,"GO:0005811","CC","lipid particle","An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. May include associated proteins."
"GO:0044255","9",59,58,3,3.75188819156794e-10,6.22100581043879e-06,20,0.344827586206897,0.178571428571429,112,"GO:0044255","BP","cellular lipid metabolic process","The chemical reactions and pathways involving lipids, as carried out by individual cells."
"GO:0032787","9",59,58,4,3.79251915657862e-09,6.28837601352302e-05,17,0.293103448275862,0.191011235955056,89,"GO:0032787","BP","monocarboxylic acid metabolic process","The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."
"GO:0006637","9",59,58,5,6.81684602458586e-09,0.000113030123933658,7,0.120689655172414,0.7,10,"GO:0006637","BP","acyl-CoA metabolic process","The chemical reactions and pathways involving acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with an acyl group."
"GO:0019432","9",59,58,6,1.27657257203545e-08,0.000211668498169198,6,0.103448275862069,0.857142857142857,7,"GO:0019432","BP","triglyceride biosynthetic process","The chemical reactions and pathways resulting in the formation of a triglyceride, any triester of glycerol."
"GO:0006082","9",59,58,7,1.80425432349281e-08,0.000299163409378343,19,0.327586206896552,0.153225806451613,124,"GO:0006082","BP","organic acid metabolic process","The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."
"GO:0006631","9",59,58,8,1.92630076159726e-08,0.000319399929280442,13,0.224137931034483,0.240740740740741,54,"GO:0006631","BP","fatty acid metabolic process","The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."
"GO:0019752","9",59,58,9,3.40279430964882e-08,0.000564217324482871,18,0.310344827586207,0.156521739130435,115,"GO:0019752","BP","carboxylic acid metabolic process","The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."
"GO:0035336","9",59,58,10,5.58422309746106e-08,0.000925920031790018,5,0.0862068965517241,1,5,"GO:0035336","BP","long-chain fatty-acyl-CoA metabolic process","The chemical reactions and pathways involving long-chain fatty-acyl-CoAs, any derivative of coenzyme A in which the sulfhydryl group is in a thioester linkage with a long-chain fatty-acyl group. Long-chain fatty-acyl-CoAs have chain lengths of C13 or more."
"GO:0042110","10",60,60,1,8.41503751623911e-23,1.39529737056761e-18,30,0.5,0.3125,96,"GO:0042110","BP","T cell activation","The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."
"GO:0070489","10",60,60,2,8.41503751623911e-23,1.39529737056761e-18,30,0.5,0.3125,96,"GO:0070489","BP","T cell aggregation","The adhesion of one T cell to one or more other T cells via adhesion molecules."
"GO:0071593","10",60,60,3,8.41503751623911e-23,1.39529737056761e-18,30,0.5,0.3125,96,"GO:0071593","BP","lymphocyte aggregation","The adhesion of one lymphocyte to one or more other lymphocytes via adhesion molecules."
"GO:0070486","10",60,60,4,2.37469758919687e-22,3.93748607264733e-18,30,0.5,0.303030303030303,99,"GO:0070486","BP","leukocyte aggregation","The adhesion of one leukocyte to one or more other leukocytes via adhesion molecules."
"GO:0007159","10",60,60,5,8.91419792264427e-22,1.47806315755365e-17,30,0.5,0.29126213592233,103,"GO:0007159","BP","leukocyte cell-cell adhesion","The attachment of a leukocyte to another cell via adhesion molecules."
"GO:00026821","10",60,60,6,3.64088753035834e-20,6.03695561408716e-16,41,0.683333333333333,0.158914728682171,258,"GO:0002682","BP","regulation of immune system process","Any process that modulates the frequency, rate, or extent of an immune system process."
"GO:0045321","10",60,60,7,5.39613185422509e-19,8.94732622749062e-15,32,0.533333333333333,0.216216216216216,148,"GO:0045321","BP","leukocyte activation","A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."
"GO:0050863","10",60,60,8,1.1777113889598e-18,1.95276325403424e-14,24,0.4,0.333333333333333,72,"GO:0050863","BP","regulation of T cell activation","Any process that modulates the frequency, rate or extent of T cell activation."
"GO:0051249","10",60,60,9,4.23219018370805e-18,7.01739454360632e-14,25,0.416666666666667,0.297619047619048,84,"GO:0051249","BP","regulation of lymphocyte activation","Any process that modulates the frequency, rate or extent of lymphocyte activation."
"GO:0050865","10",60,60,10,2.42858650729676e-17,4.02683928774876e-13,26,0.433333333333333,0.262626262626263,99,"GO:0050865","BP","regulation of cell activation","Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."
"GO:0008544","11",44,44,1,4.80223129753172e-11,7.96257971443734e-07,13,0.295454545454545,0.282608695652174,46,"GO:0008544","BP","epidermis development","The process whose specific outcome is the progression of the epidermis over time, from its formation to the mature structure. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species."
